"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Tahbilk Marsanne","2429214","Australien","vin","Tahbilk","12,00","89,90","0,75","","Tahbilk","","Central Victoria","Nagambie Lakes","Marsanne 100%"
"Tahbilk The Tower Chardonnay Viognier","2523714","Australien","vin","Tahbilk","13,00","78,40","0,75","","Tahbilk","2013:2","Central Victoria","Nagambie Lakes","Chardonnay 80% och Viognier 20%"
"Södra Empress 6,0","2101311","Sverige","öl","Södra Maltfabriken","6,00","25,66","0,33","","Södra Maltfabriken","2018","","",""
"Södra Eko One Love IPA 6,0","2190511","Sverige","öl","Södra Maltfabriken","6,00","21,28","0,33","","Södra Maltfabriken","2017","","",""
"Orin Swift Palermo","2564824","USA","vin","Orin Swift Cellars","15,50","419,00","0,75","","Orin Swift Cellars","2018","Napa Valley","","Cabernet Sauvignon, Merlot, Malbec"
"Tocornal Sauvignon Blanc","2470114","Chile","vin","Cono Sur","12,00","61,90","0,75","","Cono Sur","","Valle Central","","Sauvignon Blanc 100%"
"Single Vineyard Riesling","2510614","Chile","vin","Cono Sur","13,00","99,90","0,75","","Cono Sur","2012","South Region","Bío-Bío","Riesling 100%"
"Cono Sur Organic Pinot Noir EKO","2550214","Chile","vin","Cono Sur","13,50","94,90","0,75","","Cono Sur","2016","","","Pinot Noir"
"Cono Sur Organic Chardonnay EKO","2509714","Chile","vin","Cono Sur","13,00","85,90","0,75","","Cono Sur","2012","Aconcagua","San Antonio Valley","Chardonnay"
"Cono Sur Bícicleta Gewürztraminer","2469314","Chile","vin","Cono Sur","13,50","78,90","0,75","","Cono Sur","","South Region","Bío-Bío","Gewürztraminer 100%"
"Single Vineyard Cabernet Sauvignon","2542224","Chile","vin","Cono Sur","13,50","105,00","0,75","","Cono Sur","2016","Maipo Valley","","Cabernet Sauvignon 100%"
"Cono Sur 20 Barrels Chardonnay","2542114","Chile","vin","Cono Sur","13,50","154,00","0,75","","Cono Sur","2016","Casablanca Valley","","Chardonnay 100%"
"Single Vineyard Cabernet Sauvignon","2542214","Chile","vin","Cono Sur","13,50","105,00","0,75","","Cono Sur","2016","Maipo Valley","","Cabernet Sauvignon 100%"
"Södra Eko Pale Ale 5,0","2184111","Sverige","öl","Södra Maltfabriken","5,00","19,56","0,33","","Södra Maltfabriken","2016","","",""
"Cono Sur Cosecha Noble Riesling","2514121","Chile","vin","Cono Sur","12,00","62,90","0,38","","Cono Sur","2013","South Region","Bío-Bío","Riesling 100%"
"Single Vineyard Chardonnay","2500214","Chile","vin","Cono Sur","13,50","101,90","0,75","","Cono Sur","2010","Casablanca Valley","El Centinella","Chardonnay 100%"
"Cono Sur Silencio Cabernet Sauvignon","2530724","Chile","vin","Cono Sur","13,50","680,00","0,75","","Cono Sur","","Maipo Valley","","Cabernet Sauvignon 98%, Carmenére 2%"
"Cono Sur Bícicleta Riesling","2512014","Chile","vin","Cono Sur","12,50","78,90","0,75","","Cono Sur","2012","Valle Central","","Riesling 100%"
"Cono Sur Brut Sparkling","2491214","Chile","vin","Cono Sur","12,00","88,90","0,75","","Cono Sur","","South Region","Bío-Bío","Chardonnay 92%, Pinot Noir 8% från 20 år gamla stockar."
"Cono Sur 20 Barrels Sauvignon Blanc","2473624","Chile","vin","Cono Sur","13,00","154,00","0,75","","Cono Sur","2010","Aconcagua","Casablanca","Sauvignon Blanc"
"Cono Sur 20 Barrels syrah","2514024","Chile","vin","Cono Sur","14,50","154,00","0,75","","Cono Sur","2013","Limari Valley","El Alemandro Estate","Syrah 100%"
"Ocio Pinot Noir","2465924","Chile","vin","Cono Sur","14,00","341,00","0,75","","Cono Sur","2010","Casablanca Valley","","Pinot Noir 100%"
